questions,category
My first sonogram said I was 7 weeks pregnant due date 3/22. Next appointment (5 weeks later) sono measured bby at 13weeks. Duedate changed to 3/15. Y?,Diagnosis Explanation
My gf had her period then after 2days. We had sex she took planb its been 2week already she hasnt had her period is it because she just had her period?,General Health Information
My wife toke Plan B and 6 days later she started to spot for 2 days and stop could she be pregnant or its cause she been of Depo-Provera only a year?,Specific Health Conditions and Diseases
Numbness on right side of my cheek  some twitching no other symptoms elsewhere what could it be?,Specific Health Conditions and Diseases
"On 30mg Synthoid. Was on Armour. Liked Armour, but PCP switched. All internet chatter sings praises of Armour and blasts Synthoid. Why?  Armour better",Medication Information
"On Clomid (clomiphene) Just finished taking last pill. Just noticed if I squeeze right nipple quite strongly, a very tiny amount of clear sticky liquid came out?",Medication Information
Please describe a good source of calcium for children that have a milk allergy?,Lifestyle and Health
"Please tell me, could a dentist remove a tooth when infection is present?",Treatment Details
Possibility of being pregnant had sex and bleeded. Is that normal or is there something wrong?,Specific Health Conditions and Diseases
"Smoked half a pack year when I was 20 and quit. Will my lungs ever be healthy, also what long term damage if any should I be concerned about?",Lifestyle and Health
"Surg only way to diag endometriosis? Since Csection pain in hip during pms, bad cramps ultrasounds labs pap were fine dr not concerned hormone changes?",Diagnosis Explanation
Took a pregnancy test came up positive but very faint an I had an abortion 3 weeks ago what does this mean thanks?,Diagnosis Explanation
Two negative STD tests and urinelyis doctor said he don't know what it is but still mild buring when I pee. Would NSU show up on test and culture?,Diagnosis Explanation
What are some tips for making it easier to use eyedrops?,Treatment Details
"What are the reasons some people use digital pregnancy tests, and some use non digital? Besides the obvious, what's different about them",Medication Information
What are the right tests to take to determine and rule out systemic candida? Specifics please. Thankyou.,Diagnosis Explanation
What are the symptoms of having a meniscal root tear in the knee? Please explain,Specific Health Conditions and Diseases
What are vasopressors?,Medication Information
What can be done about a sore throat asap?,Treatment Details
What can cause light yellow vaginal discharge? Also sore vagina? STD tests all clear never had this before. Can long term abx be a cause?,Specific Health Conditions and Diseases
What can cause random blackouts / seizures?,Specific Health Conditions and Diseases
What can cause ssri shock-like sensations if you been off an ssri for 45 days?,Specific Health Conditions and Diseases
What can cause upper left sharp pain that radiates to back with vomiting/paleness/weakness? This has gone on for 5 years.,Specific Health Conditions and Diseases
What can I do to treat my pimples by tomorrow without products?,Lifestyle and Health
What causes you to vomit with a itchy throat?,Specific Health Conditions and Diseases
"What does it mean to have 91 for THYROID PEROXIDASE ANTIBODIES, <1 for THYROGLOBULIN ANTIBODIES, TSH 4.44, and T3, (liothyronine) TOTAL 72; no symptoms?",Diagnosis Explanation
What does it mean when muscles jump like in your arm is this anything serious?,Specific Health Conditions and Diseases
What do you suggest if my grandma had 2 massive strokes so on?,Treatment Details
What is best material for bleaching teeth?,Treatment Details
What is humor therapy?,Treatment Details
What is that company that tests for gene for smelly urine from asparagus?,Specific Health Conditions and Diseases
What is the anti-dose of taking too many cetrizyne hydrochlride? My friend has tried to commit suicide. What should I do to keep her safe from danger?,Specific Health Conditions and Diseases
What is the definition or description of: duct?,Specific Health Conditions and Diseases
What is the prevalence of green eyes? Are they rare?,General Health Information
What is the treatment for maxillary sinus carcinoma?,Treatment Details
What is uterine perforation and how is it treated?,Treatment Details
What kind of therapies are done after a knee cap breaks?,Treatment Details
What long term health problems can you have if you take pain medicine on a regular basis?,Medication Information
Whats an over-the-counter drug for chron's desease?,Medication Information
What should be done to loss the weight of the body in very short time?,Lifestyle and Health
Whats the best medication to treat yeast infections that a doctor can prescibe? Excluding diflucan (fluconazole),Medication Information
What's the best treatment for burns?,Treatment Details
What's the best way to deal 3rd degree bed sore?,Treatment Details
What to do if I am 17 year old guy.2 days ago I noticed weak erections and now I can't even maintain it?,Specific Health Conditions and Diseases
What to do if I have 3000mg of tegretol; 200mg pills. Is this lethal enough?,Medication Information
Whenever I sit continous for a long time then I get numbness tingling in my arms legs and stifness tightness in head or face. Plz please tell what to do?,Lifestyle and Health
When your iris leaks into your pupil is it the same as pupil into iris? What is it called? What causes? What problems can arise?,Diagnosis Explanation
Where do I go for suspected wound infection ( not surgeon but I did not have surgery.It is a wound that healed by itself)?,Treatment Details
Which is better a partial hystorectomy or uterine ablation?,Treatment Details
Why does my vagina burn so much when I have sex with my husband? It only burns when I'm laying on my back or doggie style.,Specific Health Conditions and Diseases
Worried about lung cancer. Up back pain over 1 year now.  Had chest CT 8 months ago it was ok. 3 mris of throastic ok. Some cervical stenosis. Worry?,Specific Health Conditions and Diseases
2 years ago i had lyme ab screen mildly elevevated but western blot all non reactive. Now im testing pos for igm 23 and igm 41. What does this mean?,Diagnosis Explanation
6mm ground glass ill defined upper left lung what percentage that its not cancer I am getting another CT scan in dec. To check for growth?,Diagnosis Explanation
4 5 days I feel pressure and pain in the front lobe part of the head. I feel dizzy. I thought it was just a cold. Ibuprofen was usell. Do I have sinuzitis?,Specific Health Conditions and Diseases
